id,db_created_time,session_created_time,user_id,session_type
209,2024-05-08 04:13:53.065181+00,1715114439008,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
210,2024-05-08 04:14:03.696742+00,1715141642616,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
211,2024-05-08 14:32:51.870226+00,1715019760518,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
212,2024-05-08 14:32:53.040835+00,1715178772340,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
213,2024-05-08 18:06:21.870853+00,1715178772340,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
214,2024-05-08 18:12:21.91253+00,1715191939104,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
215,2024-05-14 10:52:17.165366+00,1715683935289,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
216,2024-05-16 05:12:19.959294+00,1715836337389,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
217,2024-05-16 11:28:49.028139+00,1715858923584,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
218,2024-05-18 14:18:09.759022+00,1716041887653,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
219,2024-05-18 14:30:30.847553+00,1716042627927,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
220,2024-05-18 14:33:42.61569+00,1716042819431,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
221,2024-05-18 18:36:58.437715+00,1716057415487,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
222,2024-05-20 09:07:47.671439+00,1716196065782,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
223,2024-05-21 14:29:19.985672+00,1716301757383,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
224,2024-05-24 15:45:17.397823+00,1716565513055,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
225,2024-05-25 06:20:00.654337+00,1716617998337,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
226,2024-05-27 13:34:22.809029+00,1716816860489,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
227,2024-05-27 19:58:43.355969+00,1716839920799,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
228,2024-05-29 11:14:26.282988+00,1716981262921,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
229,2024-05-29 15:27:55.627658+00,1716996473412,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
230,2024-05-29 16:33:51.264966+00,1717000427232,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
231,2024-05-29 18:11:11.318859+00,1716816860489,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
232,2024-05-29 18:11:16.499454+00,1717006275713,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
233,2024-05-29 19:20:34.098479+00,1717010431719,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
234,2024-05-30 15:13:35.318838+00,1717082013274,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
235,2024-05-30 16:52:18.874773+00,1717006275713,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
236,2024-05-30 16:52:21.215437+00,1717087940072,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
237,2024-05-30 17:01:25.345509+00,1717010431719,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,ended
238,2024-05-30 17:07:40.444152+00,1717088858933,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
239,2024-05-30 17:08:01.850104+00,1717088858933,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,ended
240,2024-05-30 17:08:23.475982+00,1717088901795,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
241,2024-05-31 15:38:42.454413+00,1717169920995,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
242,2024-05-31 15:38:57.345338+00,1717082013274,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,ended
243,2024-05-31 15:39:00.128666+00,1717169939006,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
244,2024-05-31 16:05:28.057105+00,1717171527152,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
245,2024-05-31 16:39:19.885558+00,1717173559076,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
246,2024-05-31 18:16:27.100364+00,1717179385549,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
247,2024-06-01 18:12:02.613233+00,1717265521081,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
